Date,Open,High,Low,Close,Volume,Adj Close
2011-12-19,628.01,634.68,618.96,633.14,2061100,633.14
2011-12-12,621.88,636.56,612.49,625.96,3396700,625.96
2011-12-05,627.64,631.90,615.30,627.42,2592100,627.42
2011-11-28,579.37,624.00,576.50,620.36,3152800,620.36
2011-11-21,587.76,588.50,561.33,563.00,2323700,563.00
2011-11-14,608.00,618.30,593.75,594.88,3050800,594.88
2011-11-07,593.32,614.37,591.56,608.35,3388600,608.35
2011-10-31,595.09,599.74,576.75,596.14,2661600,596.14
2011-10-24,586.72,602.70,572.86,600.14,3025700,600.14
2011-10-17,583.72,592.75,577.40,590.49,3502100,590.49
2011-10-10,525.18,599.60,523.20,591.68,4514100,591.68
2011-10-03,509.85,520.50,480.60,515.12,3889500,515.12
2011-09-26,527.25,547.05,513.25,515.04,2707700,515.04
2011-09-19,540.35,558.52,514.00,525.51,2987800,525.51
2011-09-12,517.96,546.84,517.50,546.68,2842800,546.68
2011-09-06,510.80,539.10,510.50,524.85,2780200,524.85
2011-08-29,534.56,546.30,520.73,524.84,2566900,524.84
2011-08-22,504.00,537.27,494.53,526.86,3947300,526.86
2011-08-15,553.43,564.99,490.86,490.92,5972800,490.92
2011-08-08,562.98,574.61,541.01,563.77,5464100,563.77
2011-08-01,611.22,615.50,562.00,579.04,4367200,579.04
2011-07-25,613.36,627.50,603.00,603.69,3330900,603.69
2011-07-18,592.49,619.50,592.00,618.23,3332200,618.23
2011-07-11,528.18,600.25,525.50,597.62,5770400,597.62
2011-07-05,525.30,550.68,525.30,531.99,3812600,531.99
2011-06-27,474.00,521.18,473.60,521.03,2913500,521.03
2011-06-20,485.00,493.94,473.02,474.88,3361600,474.88
2011-06-13,510.00,514.08,484.80,485.02,2968900,485.02
2011-06-06,523.54,526.82,509.29,509.51,1926400,509.51
2011-05-31,525.00,533.20,521.50,523.08,2399000,523.08
2011-05-23,516.60,523.96,513.40,520.90,1873100,520.90
2011-05-16,526.31,536.54,515.03,524.03,2600200,524.03
2011-05-09,535.00,544.43,529.05,529.55,1977400,529.55
2011-05-02,545.70,545.73,529.63,535.30,2077200,535.30
2011-04-25,525.25,544.10,522.01,544.10,2731500,544.10
2011-04-18,526.42,530.88,519.00,525.10,3313500,525.10
2011-04-11,576.20,579.45,530.06,530.70,5102600,530.70
2011-04-04,593.00,594.74,565.68,578.16,3040700,578.16
2011-03-28,582.07,595.19,573.01,591.80,1977600,591.80
2011-03-21,570.22,588.39,569.02,579.74,2336200,579.74
2011-03-14,572.80,578.29,551.28,561.06,3363600,561.06
2011-03-07,600.55,603.69,573.33,576.71,2811700,576.71
2011-02-28,610.00,619.22,595.19,600.62,2517500,600.62
2011-02-22,620.03,624.93,601.35,610.04,2793400,610.04
2011-02-14,623.34,631.18,620.04,630.08,2120100,630.08
2011-02-07,610.16,625.00,609.21,624.50,2052200,624.50
2011-01-31,603.60,614.34,595.55,610.98,2071300,610.98
2011-01-24,607.57,622.49,599.76,600.99,3306800,600.99
2011-01-18,626.06,642.96,611.36,611.83,5353300,611.83
2011-01-10,614.80,624.27,608.56,624.18,1670100,624.18
2011-01-03,596.48,618.43,596.48,616.44,2176200,616.44
2010-12-27,602.74,603.87,592.03,593.97,1164100,593.97
2010-12-20,594.65,607.00,588.66,604.23,1542700,604.23
2010-12-13,597.12,603.00,587.67,590.80,2178700,590.80
2010-12-06,580.57,595.58,576.61,592.21,2093300,592.21
2010-11-29,589.17,589.80,553.31,573.00,3782000,573.00
2010-11-22,587.47,596.60,578.20,590.00,2014100,590.00
2010-11-15,603.08,604.00,581.37,590.83,2823200,590.83
2010-11-08,624.02,630.85,601.21,603.29,2498000,603.29
2010-11-01,615.73,629.92,611.21,625.08,2760300,625.08
2010-10-25,615.59,624.74,611.03,613.70,2475100,613.70
2010-10-18,600.55,619.69,600.55,612.53,4077500,612.53
2010-10-11,538.48,601.64,537.11,601.45,6178800,601.45
2010-10-04,524.95,540.00,518.85,536.35,2692900,536.35
2010-09-27,528.85,536.85,518.45,525.62,2880600,525.62
2010-09-20,492.50,527.83,492.06,527.29,3416200,527.29
2010-09-13,480.90,491.20,478.50,490.15,2894300,490.15
2010-09-07,464.50,480.40,463.02,476.14,2129100,476.14
2010-08-30,459.15,471.88,448.00,470.30,2126200,470.30
2010-08-23,461.50,468.25,447.65,458.83,2486000,458.83
2010-08-19,481.01,482.51,461.02,462.02,3921300,462.02
